Nodes: 180
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.007211 22.369973
1: 0.507141 8.571328
2: 0.847940 35.509800
3: 1.132086 5.406953
4: 1.473855 67.255233
5: 1.785832 25.959995
6: 2.281089 89.036831
7: 2.390642 39.840515
8: 3.340307 75.433508
9: 3.732170 46.201132
10: 4.182190 12.881647
11: 4.812580 56.026058
12: 6.367994 34.977169
13: 6.749975 87.260971
14: 7.908080 22.372119
15: 8.851151 13.936338
16: 8.984707 90.520526
17: 9.356452 74.812974
18: 9.599785 52.665830
19: 9.700404 39.025997
20: 10.137282 27.453316
21: 10.767549 9.640432
22: 10.845389 71.831739
23: 11.164586 30.992858
24: 12.179055 36.815188
25: 12.366098 40.851251
26: 13.799290 91.031061
27: 13.884449 8.490280
28: 14.862336 19.769964
29: 15.196616 39.467906
30: 15.389508 74.819527
31: 15.862729 62.530477
32: 17.062298 29.552452
33: 17.077634 12.723995
34: 17.892725 6.627657
35: 17.946291 74.619812
36: 18.382407 84.184113
37: 18.873391 43.413714
38: 19.312713 17.860437
39: 19.340296 52.835699
40: 19.351892 36.272965
41: 20.459505 89.835349
42: 20.584141 37.947537
43: 20.760115 25.680707
44: 21.130160 42.006881
45: 22.365975 30.780545
46: 22.867912 18.685111
47: 24.263367 73.116543
48: 24.299273 56.385061
49: 24.915538 89.138029
50: 25.062674 65.324072
51: 25.135841 83.408758
52: 25.226707 33.756016
53: 27.580108 1.494266
54: 27.763255 39.509661
55: 27.994281 74.885559
56: 28.263741 3.445547
57: 29.288055 46.114572
58: 29.309307 83.900614
59: 29.351843 19.066425
60: 29.825612 68.418561
61: 30.120261 6.647803
62: 30.209870 62.874284
63: 30.787077 13.040711
64: 31.657359 19.842998
65: 31.725821 56.006028
66: 33.515874 80.683326
67: 34.738204 83.383999
68: 34.822810 90.672451
69: 35.506007 34.942782
70: 35.546523 53.654990
71: 36.908411 49.071704
72: 36.926862 16.773222
73: 37.346356 45.658555
74: 37.738443 83.101724
75: 38.388115 89.046730
76: 38.436173 22.069330
77: 39.642162 91.322322
78: 40.141784 15.889274
79: 40.869296 81.925447
80: 41.336948 5.367618
81: 42.018942 44.438901
82: 42.410961 77.396457
83: 43.097170 40.388247
84: 43.358549 55.731639
85: 43.387406 34.399771
86: 43.523454 86.672392
87: 44.068484 49.035910
88: 44.939576 63.934787
89: 45.510220 43.615259
90: 45.607430 78.072712
91: 46.454325 92.911512
92: 46.886904 61.482972
93: 48.177434 84.756477
94: 48.535370 90.205853
95: 49.104101 38.297538
96: 49.303380 78.912942
97: 49.490339 30.765621
98: 50.018273 49.004116
99: 50.924027 7.080108
100: 51.344033 88.124828
101: 52.544210 23.725873
102: 52.837606 26.323948
103: 53.058397 47.918328
104: 53.802589 19.084092
105: 54.192064 65.610097
106: 54.699846 39.010645
107: 55.537614 9.607342
108: 56.309783 21.682212
109: 56.966643 46.867673
110: 57.320548 43.374331
111: 57.425875 38.971412
112: 57.721559 36.072140
113: 59.048271 79.999089
114: 59.072554 41.090602
115: 60.042983 68.700335
116: 61.185691 18.750376
117: 61.951957 14.517362
118: 61.953351 62.804724
119: 62.070460 65.596888
120: 62.440757 39.536561
121: 62.469645 0.949147
122: 62.534121 55.035799
123: 63.907532 87.971558
124: 63.931423 42.500580
125: 64.464802 37.951596
126: 64.548722 29.020854
127: 65.258772 5.313120
128: 65.293819 83.111896
129: 66.566766 73.263985
130: 67.007341 49.364247
131: 68.321008 14.791945
132: 68.784532 45.346491
