Nodes: 140
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.044330 63.995694
1: 0.066755 66.287453
2: 0.437154 46.754277
3: 0.550202 34.773072
4: 1.442422 43.764695
5: 1.857157 14.947945
6: 2.048974 60.584871
7: 2.145540 48.495140
8: 2.589080 26.878626
9: 3.425516 13.600655
10: 4.443354 6.732284
11: 4.846887 41.022258
12: 6.482592 65.569827
13: 7.769366 0.885579
14: 7.838899 28.050540
15: 8.330903 25.159441
16: 8.925416 2.906820
17: 9.074930 66.868720
18: 9.296375 10.756759
19: 9.576247 62.761924
20: 10.602068 58.241213
21: 11.086466 25.451754
22: 11.583520 48.968748
23: 12.175922 16.728543
24: 12.399394 6.821429
25: 12.786787 43.550355
26: 13.033605 26.851454
27: 13.050464 19.115261
28: 13.416155 52.083364
29: 14.216536 23.936208
30: 14.390141 11.825712
31: 14.439753 35.231454
32: 14.483898 39.746386
33: 14.550863 44.622357
34: 14.557374 0.792219
35: 15.557400 69.623217
36: 16.241416 4.019667
37: 16.491951 26.008552
38: 16.739003 52.450446
39: 17.360906 61.950473
40: 17.892624 12.013462
41: 18.375661 55.063387
42: 18.387053 47.636220
43: 19.853901 22.337938
44: 20.745870 16.769754
45: 21.407548 31.517179
46: 21.934998 44.802433
47: 22.142807 38.052293
48: 23.574877 14.484866
49: 23.580629 54.842885
50: 24.045851 49.914010
51: 24.728928 46.106317
52: 24.922167 65.371322
53: 25.138674 32.938668
54: 25.306633 2.200620
55: 25.865143 56.414398
56: 26.454476 19.585878
57: 27.579844 26.334787
58: 28.882758 51.738544
59: 29.263471 3.611380
60: 29.985848 42.901807
61: 30.167777 6.020515
62: 30.593087 50.433741
63: 30.604857 58.971703
64: 30.934593 8.932652
65: 30.957258 46.469018
66: 31.538350 31.178029
67: 31.827331 23.968136
68: 32.900788 54.784073
69: 34.220065 15.993285
70: 34.596578 67.228882
71: 35.497128 35.629371
72: 36.162179 13.902904
73: 36.325107 64.965029
74: 36.617246 48.433313
75: 37.178030 62.784589
76: 37.432075 22.322797
77: 38.069159 29.760299
78: 38.612115 43.341752
79: 39.279217 8.530347
80: 39.649038 36.652124
81: 40.608396 18.296902
82: 43.214494 48.643083
83: 43.876470 55.128613
84: 44.048499 4.948705
85: 44.072156 69.446994
86: 45.207826 52.869591
87: 45.575935 42.385241
88: 45.631515 16.635874
89: 45.775026 13.801736
90: 46.103070 48.300072
91: 46.433552 64.401065
92: 47.639557 60.540451
93: 47.834619 62.660501
94: 49.723237 13.645095
95: 50.366953 18.483281
96: 50.503146 26.129664
97: 50.640942 40.625446
98: 50.916868 20.875611
99: 51.423714 23.999963
100: 52.383691 65.429836
101: 52.624123 32.938895
102: 53.149228 57.728867
103: 53.195400 5.414263
104: 53.735086 11.532933
105: 54.528349 44.184584
106: 54.644163 59.270191
107: 55.546514 33.337942
108: 56.010296 29.491342
109: 57.396835 21.823396
110: 57.890194 36.927164
111: 58.119779 18.596745
112: 58.697589 23.780273
113: 59.391306 69.206244
114: 59.461933 66.963134
115: 60.025778 56.052393
116: 60.270754 41.621384
117: 60.863401 38.507768
118: 61.717289 11.462183
119: 61.978786 28.427516
120: 62.352091 9.481884
121: 62.986910 17.220701
122: 63.034552 63.863844
123: 63.289858 46.381481
124: 64.435613 53.748406
125: 64.723180 32.106928
126: 65.051686 19.484197
127: 65.493855 62.912075
128: 65.496742 43.698747
129: 66.317006 23.466135
130: 67.410952 19.766474
131: 67.415333 69.515746
132: 67.452029 52.858034
133: 67.796926 43.914667
134: 68.076649 32.777194
135: 68.409557 16.803121
136: 68.771903 35.521188
137: 68.829462 46.637579
138: 69.471416 59.153534
139: 69.569471 7.838473
Edges
(0,12)
(1,12)
(1,17)
(1,35)
(2,6)
(3,11)
(4,11)
(5,8)
(5,10)
(6,19)
(6,20)
(7,11)
(7,22)
(9,23)
(10,16)
(10,18)
(11,32)
(12,19)
(13,16)
(14,15)
(14,31)
(15,21)
(15,23)
(16,34)
(18,23)
(18,30)
(20,39)
(21,26)
(21,27)
(21,29)
(22,33)
(24,30)
(25,33)
(27,43)
(27,44)
(28,41)
(30,36)
(33,46)
(35,85)
(37,45)
(38,41)
(38,42)
(40,44)
(40,54)
(42,46)
(42,50)
(43,45)
(44,56)
(45,47)
(45,53)
(46,47)
(48,64)
(49,55)
(49,58)
(51,58)
(51,62)
(52,63)
(53,66)
(54,61)
(54,84)
(54,103)
(55,68)
(56,69)
(57,67)
(59,61)
(60,71)
(61,79)
(62,65)
(63,68)
(63,70)
(64,69)
(64,72)
(66,67)
(66,71)
(66,77)
(68,75)
(69,76)
(71,80)
(73,75)
(74,78)
(75,85)
(76,81)
(77,96)
(77,101)
(78,87)
(79,89)
(81,88)
(82,83)
(83,86)
(84,94)
(85,113)
(86,102)
(87,90)
(88,95)
(88,98)
(90,105)
(91,92)
(91,93)
(91,100)
(97,105)
(98,109)
(99,108)
(100,106)
(101,110)
(102,105)
(103,104)
(104,111)
(104,118)
(104,120)
(105,123)
(106,114)
(106,115)
(107,119)
(107,125)
(108,112)
(110,117)
(112,129)
(113,131)
(114,122)
(116,117)
(117,128)
(120,139)
(121,135)
(122,131)
(123,124)
(123,132)
(125,134)
(125,136)
(126,135)
(127,138)
(129,130)
(130,135)
(131,138)
(132,138)
(133,136)
(135,136)
(136,137)
(136,139)
(137,138)
