Nodes: 180
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.146442 58.779693
1: 1.249114 89.832282
2: 1.897053 83.373461
3: 2.045428 71.194091
4: 3.050603 21.703652
5: 3.273165 48.563782
6: 4.462029 55.607999
7: 5.006792 91.586193
8: 5.080533 23.329770
9: 5.736557 84.332432
10: 6.301903 0.338647
11: 6.469398 25.590759
12: 7.268816 76.687184
13: 7.527643 52.720837
14: 8.323151 92.273311
15: 8.784298 49.415020
16: 9.324849 15.716483
17: 9.329630 34.934312
18: 9.374693 82.299997
19: 10.664996 59.649409
20: 11.030751 18.793913
21: 11.955720 86.956380
22: 14.148703 53.775892
23: 14.579731 95.701125
24: 16.739808 88.281871
25: 17.528620 21.783022
26: 17.653310 18.309180
27: 18.263969 60.652427
28: 18.388940 37.003967
29: 19.156567 56.039914
30: 19.731880 30.975457
31: 19.762253 67.375878
32: 20.339139 17.133333
33: 21.118109 45.134889
34: 22.681877 32.283041
35: 23.407570 80.828812
36: 23.809641 6.031243
37: 25.849181 95.816664
38: 27.632222 70.052189
39: 28.812268 34.027973
40: 29.030118 37.673358
41: 29.203584 48.988324
42: 29.235246 8.043280
43: 29.758818 41.702980
44: 30.054911 51.693310
45: 31.781064 15.591968
46: 31.991861 6.472142
47: 32.163871 59.627441
48: 32.185633 69.364162
49: 33.088230 88.803247
50: 33.504696 80.109512
51: 33.817136 75.533383
52: 35.066204 17.326437
53: 35.593537 25.816271
54: 35.925266 32.322110
55: 36.053534 77.355313
56: 37.027008 18.558849
57: 37.239018 22.402098
58: 37.447599 59.406702
59: 37.596824 11.132444
60: 39.668166 16.966900
61: 39.995858 13.911427
62: 40.383089 57.758313
63: 40.601153 67.906572
64: 40.755927 51.723741
65: 41.170176 91.722870
66: 41.519644 60.123539
67: 42.518926 63.024411
68: 42.649690 90.372020
69: 42.841399 68.047574
70: 44.990396 88.503131
71: 45.634961 73.164285
72: 45.689117 45.142920
73: 46.947021 58.457252
74: 46.969841 53.958112
75: 47.093413 36.989287
76: 47.255616 40.011800
77: 47.517967 31.783105
78: 48.543045 79.500648
79: 48.743801 27.352517
80: 48.750005 68.772354
81: 49.335837 60.251546
82: 49.366795 53.112367
83: 49.387615 73.937152
84: 49.432623 57.402918
85: 49.647882 44.071704
86: 51.079394 32.808412
87: 52.322385 93.009369
88: 53.269879 18.394537
89: 53.432942 1.354252
90: 53.552837 50.657126
91: 53.689445 95.192083
92: 54.321124 6.488404
93: 54.462302 53.633697
94: 55.661511 0.678370
95: 55.820806 41.750084
96: 56.286369 73.511505
97: 56.348045 14.647731
98: 56.614360 30.353786
99: 57.530579 71.081457
100: 58.281109 48.906683
101: 59.192233 84.167327
102: 59.391385 41.330095
103: 59.988056 87.186133
104: 60.448997 7.964031
105: 61.064817 43.182512
106: 61.496716 18.115592
107: 62.820238 0.686410
108: 62.904861 68.346430
109: 63.700710 45.865899
110: 64.398955 16.593666
111: 64.482754 76.113018
112: 64.913739 72.586591
113: 64.927639 80.889551
114: 65.248369 83.556683
115: 66.409509 30.549664
116: 66.595681 1.042296
117: 68.359415 25.540664
118: 69.040994 31.674725
119: 69.437596 5.694049
120: 69.550079 46.398091
121: 70.485038 20.131765
122: 71.106226 42.010632
123: 71.891484 92.014185
124: 71.942877 81.131881
125: 72.303662 74.363421
126: 72.440148 22.595396
127: 72.440433 67.317120
128: 72.960495 78.750905
129: 73.224360 1.410662
130: 73.274270 12.316893
131: 74.722858 53.395220
132: 74.728786 20.986838
