Nodes: 20
Protection radius: 1.000000
Disaster radius: 0.500000
0: 2.048820 7.763538
1: 2.229211 3.396082
2: 2.531489 11.496529
3: 3.697296 15.453508
4: 5.510788 10.400398
5: 5.985741 2.595312
6: 7.791509 10.857024
7: 8.277212 8.639454
8: 8.459827 12.806084
9: 8.697409 1.157416
10: 8.784422 6.237580
11: 10.949737 5.752368
12: 11.661087 9.271158
13: 12.233336 14.624264
14: 12.487606 0.575932
15: 13.018382 7.024110
16: 13.298135 12.476843
17: 13.841724 3.359622
18: 15.365444 10.784881
19: 15.473514 5.388340
Edges
(0,4)
(1,9)
(2,3)
(2,4)
(3,4)
(3,8)
(5,10)
(6,8)
(6,12)
(7,10)
(7,12)
(8,16)
(9,10)
(10,11)
(10,12)
(11,12)
(11,14)
(11,15)
(12,15)
(12,16)
(12,18)
(13,18)
(15,18)
(15,19)
(17,19)
