Nodes: 180
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.048692 71.915699
1: 0.073613 52.525371
2: 3.039084 3.332784
3: 3.096578 30.609354
4: 3.164323 71.400458
5: 4.012782 73.841921
6: 4.088415 62.784021
7: 4.335874 51.981183
8: 4.733214 13.641094
9: 5.143786 20.809520
10: 5.673562 33.495375
11: 5.862866 18.200643
12: 5.924686 27.901214
13: 6.329674 9.749977
14: 7.001634 74.062400
15: 7.184168 58.586076
16: 8.505617 32.579193
17: 8.620174 7.127628
18: 8.694161 11.090050
19: 8.721351 20.221891
20: 9.016232 72.491029
21: 9.222849 35.344567
22: 10.011561 2.540631
23: 10.148562 78.508099
24: 10.396330 49.972780
25: 10.419587 74.161040
26: 10.784808 39.794143
27: 10.951858 43.676147
28: 12.062071 21.699107
29: 12.275957 51.281532
30: 14.153438 8.579230
31: 14.207207 55.354819
32: 14.392668 45.741861
33: 14.673897 84.698601
34: 15.089045 71.728016
35: 16.009812 69.464940
36: 16.083297 11.320562
37: 16.527680 49.890553
38: 17.011810 7.205878
39: 17.092745 20.380171
40: 18.270921 0.381322
41: 19.375797 29.878153
42: 19.433626 10.945138
43: 19.462664 62.226106
44: 19.952280 53.670957
45: 21.214404 76.329553
46: 21.260266 66.074673
47: 21.449067 18.686680
48: 21.961075 24.822459
49: 22.111573 49.537439
50: 22.190911 3.574193
51: 22.592499 61.953843
52: 22.785437 78.805816
53: 23.562961 27.662410
54: 23.588514 5.710380
55: 23.632431 56.765090
56: 24.590135 60.520550
57: 24.871946 15.291105
58: 25.056779 73.429518
59: 26.105861 4.542230
60: 26.132287 79.395026
61: 26.369289 53.825045
62: 26.480806 20.108388
63: 27.711903 51.842145
64: 28.001888 82.107667
65: 28.193106 84.706771
66: 28.630794 62.085277
67: 28.782896 69.402070
68: 28.950938 58.740955
69: 29.338261 17.371530
70: 29.397813 64.658013
71: 29.419504 53.107255
72: 29.563646 2.378580
73: 30.584526 44.691875
74: 30.627741 33.233408
75: 31.835535 68.186941
76: 33.595312 75.205137
77: 33.740018 70.516959
78: 35.833351 81.380448
79: 36.151608 55.904488
80: 36.507246 58.245407
81: 37.081897 68.044115
82: 37.196405 41.968295
83: 37.815233 21.268274
84: 38.050538 76.371353
85: 38.320386 81.513074
86: 38.521350 50.496677
87: 38.532361 33.312725
88: 38.624610 55.485244
89: 39.345946 61.298089
90: 39.376808 4.163169
91: 40.755277 72.322396
92: 40.790949 21.631362
93: 42.984135 6.260901
94: 43.314995 4.142521
95: 43.509138 63.747222
96: 44.140784 16.768845
97: 44.192604 39.251572
98: 44.831163 27.405749
99: 45.274305 59.206091
100: 45.276349 34.195100
101: 45.600422 80.764951
102: 45.642011 82.777864
103: 46.734645 22.210633
104: 46.916637 15.603318
105: 47.033091 5.413907
106: 48.141805 36.008624
107: 48.729394 2.685987
108: 49.325084 49.866166
109: 49.363228 60.666994
110: 49.570905 32.481084
111: 50.238251 26.179474
112: 50.846421 4.195980
113: 51.290414 49.026310
114: 51.300469 75.769503
115: 51.634223 16.971173
116: 52.364434 20.533121
117: 52.571845 29.295117
118: 52.876417 71.315580
119: 53.010358 4.792379
120: 53.829070 76.624300
121: 54.122244 0.908546
122: 54.329818 40.771160
123: 55.175297 79.980685
124: 55.787336 50.001719
125: 56.363337 27.860148
126: 56.962215 57.607331
127: 57.067601 33.399380
128: 58.322502 13.726384
129: 58.826017 62.253183
130: 59.924509 85.056800
131: 60.286461 4.332313
132: 61.172873 35.598700
