Nodes: 140
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.085514 54.417189
1: 0.124839 26.438046
2: 0.526406 13.226595
3: 0.924781 46.213344
4: 1.653651 44.283660
5: 1.723615 10.566219
6: 1.838531 8.076977
7: 2.918666 2.638173
8: 3.678290 56.958387
9: 3.699576 70.268082
10: 4.077232 61.623250
11: 4.731659 9.006086
12: 5.700979 55.683752
13: 6.792236 44.553583
14: 8.222106 57.581794
15: 8.641174 6.000493
16: 8.659529 53.085943
17: 9.079149 45.003924
18: 9.318710 55.460965
19: 9.870229 25.767041
20: 11.083607 46.661460
21: 12.046798 4.345761
22: 12.497777 42.460155
23: 13.940269 61.149703
24: 14.590949 37.080471
25: 14.611165 29.993206
26: 15.007821 49.395280
27: 15.206578 57.304318
28: 15.262319 44.857755
29: 16.168085 20.160831
30: 16.687905 26.276396
31: 16.778565 9.173803
32: 17.209398 6.508945
33: 17.454478 64.172986
34: 18.374058 57.726244
35: 18.491576 36.769809
36: 19.503138 44.565221
37: 19.659862 10.505216
38: 19.710210 2.894427
39: 20.421344 55.329176
40: 20.494278 20.427920
41: 21.037885 6.644122
42: 21.248495 31.686442
43: 21.338629 0.700669
44: 21.368858 8.924952
45: 22.197828 15.136202
46: 22.563413 68.833293
47: 25.005677 9.951852
48: 26.805173 16.270106
49: 27.040325 48.837925
50: 27.746298 37.196042
51: 28.137889 70.932414
52: 28.274088 6.599071
53: 28.524036 41.081324
54: 28.747511 65.115375
55: 29.785093 72.772173
56: 29.962827 37.797866
57: 30.613315 42.577210
58: 31.697346 50.373154
59: 33.220541 39.094674
60: 33.377661 24.669773
61: 33.844018 28.123816
62: 34.602560 35.426319
63: 35.445691 0.787710
64: 36.023891 50.957239
65: 36.343115 36.912484
66: 36.357386 42.809806
67: 37.371059 53.221825
68: 37.566549 45.232224
69: 38.910970 6.865975
70: 39.284081 73.699782
71: 39.601477 55.472300
72: 39.718644 65.499631
73: 40.423543 33.031878
74: 40.790302 30.698197
75: 41.187172 42.102718
76: 42.104010 62.094793
77: 42.281458 35.680767
78: 42.807793 70.929678
79: 43.695226 16.619249
80: 44.142676 62.216617
81: 44.883002 37.393095
82: 45.562201 48.558873
83: 46.156475 57.922982
84: 46.304359 45.026065
85: 46.341900 23.331371
86: 46.734523 64.969377
87: 46.801437 20.840994
88: 48.273694 10.989908
89: 48.364085 58.815045
90: 49.406972 62.031610
91: 50.859029 20.887688
92: 51.734759 40.937471
93: 52.559536 47.637943
94: 54.171923 12.291151
95: 54.876750 3.978508
96: 55.650666 29.622641
97: 56.006170 35.351992
98: 56.821205 25.893529
99: 57.612071 19.969899
100: 57.917983 43.895457
101: 57.922104 22.523543
102: 57.946009 5.863965
103: 58.139386 14.100365
104: 58.510725 2.161017
105: 59.581132 72.701853
106: 60.165564 18.513628
107: 60.864538 23.270693
108: 61.152625 15.815265
109: 61.362836 28.643450
110: 61.462455 63.313049
111: 61.489908 58.555214
112: 62.227911 0.407714
113: 62.728810 30.279864
114: 63.467332 73.056857
115: 63.663240 70.567878
116: 63.766117 10.723156
117: 63.788044 54.469037
118: 64.567104 15.364449
119: 64.854142 47.979636
120: 65.414116 17.509616
121: 65.706183 73.147073
122: 68.056458 58.463116
123: 68.579050 48.632523
124: 69.058390 61.312180
125: 69.223357 56.767239
126: 69.704587 67.194359
127: 69.903185 41.722058
128: 70.781116 38.152129
129: 70.909039 27.718887
130: 70.991629 59.336772
131: 71.048201 65.162031
132: 71.311007 19.452482
