Nodes: 20
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.355903 16.057169
1: 1.688297 12.795746
2: 2.934897 10.988524
3: 4.112546 3.754592
4: 4.756049 12.954172
5: 5.966541 14.627115
6: 5.974425 7.179758
7: 7.452355 1.835600
8: 8.170918 4.022975
9: 8.416236 0.072761
10: 9.450307 11.293886
11: 11.486197 5.205619
12: 12.170785 13.562853
13: 12.672871 15.623273
14: 12.847021 3.625914
15: 13.794656 10.842538
16: 14.266616 0.636828
17: 15.048478 13.859082
18: 16.266925 16.718699
19: 16.693997 2.776904
Edges
(0,5)
(0,18)
(1,2)
(2,6)
(3,9)
(4,5)
(4,6)
(5,10)
(5,12)
(6,11)
(7,9)
(8,9)
(8,11)
(9,14)
(9,16)
(10,11)
(10,15)
(12,13)
(12,17)
(13,17)
(13,18)
(14,15)
(15,17)
(15,19)
(17,18)
(18,19)
