Nodes: 180
Protection radius: 1.000000
Disaster radius: 0.500000
0: 1.269584 53.605205
1: 1.592716 40.147976
2: 1.693094 11.595469
3: 1.883899 73.063732
4: 2.098385 80.245755
5: 4.707279 6.851367
6: 7.032514 16.223917
7: 7.899264 30.256867
8: 7.996690 62.178493
9: 8.565324 17.715352
10: 8.877361 91.353324
11: 9.056379 47.029388
12: 9.285916 10.630941
13: 9.435004 21.408654
14: 10.193211 58.127512
15: 10.369426 3.882968
16: 10.734326 35.210140
17: 12.217812 2.740870
18: 12.264156 69.613370
19: 12.493215 81.579107
20: 13.468120 53.737850
21: 14.423404 56.129121
22: 14.543095 22.827901
23: 14.599170 34.328049
24: 15.408720 88.145037
25: 15.903019 79.851975
26: 16.161789 73.366386
27: 16.684891 92.137413
28: 16.943930 39.123290
29: 17.958300 29.284347
30: 18.175207 59.304471
31: 19.035905 3.947277
32: 20.242100 96.140606
33: 20.473566 16.620740
34: 20.898150 70.454718
35: 21.908125 43.275066
36: 22.065575 7.230491
37: 22.073877 82.909746
38: 23.035644 15.910142
39: 23.484550 96.842753
40: 25.192703 73.101862
41: 27.313249 50.593767
42: 27.981528 10.514678
43: 28.300776 67.338639
44: 29.757837 48.003543
45: 30.397579 92.660426
46: 30.557200 28.750914
47: 30.606654 8.854235
48: 30.797780 43.495642
49: 30.859477 90.122372
50: 31.069499 19.827527
51: 31.540126 32.828727
52: 32.298745 1.987470
53: 33.842512 22.527346
54: 34.844746 68.955207
55: 34.901151 25.419606
56: 35.249038 15.692989
57: 35.436771 92.211088
58: 36.497189 12.529606
59: 36.834237 81.844050
60: 37.105460 85.707440
61: 37.311120 89.182042
62: 37.485299 19.759125
63: 37.783704 92.957728
64: 39.365467 7.379041
65: 39.476156 25.181657
66: 40.060789 66.408306
67: 40.108877 37.837189
68: 41.969439 11.208782
69: 43.372582 6.965091
70: 44.061981 77.921813
71: 45.081917 24.304631
72: 45.400102 50.374653
73: 45.401009 81.650720
74: 45.705941 68.704235
75: 45.772323 97.368942
76: 45.854055 78.846446
77: 46.961954 60.972836
78: 47.364612 55.590281
79: 47.537455 93.624443
80: 48.229857 4.992171
81: 48.603151 57.617913
82: 49.059951 53.936489
83: 49.817735 82.977742
84: 51.248384 23.724315
85: 52.242357 73.357623
86: 52.628296 20.690380
87: 53.115523 0.851535
88: 53.129541 81.466551
89: 53.372755 76.364553
90: 53.675371 83.700190
91: 54.167314 42.315969
92: 55.105432 77.712343
93: 55.882592 72.692505
94: 56.230269 40.232784
95: 57.585480 13.344030
96: 59.767254 3.573547
97: 59.991909 39.617903
98: 60.294593 71.790323
99: 60.364535 34.921629
100: 61.809324 79.442618
101: 61.835993 5.783106
102: 61.954932 15.416303
103: 62.330336 67.137388
104: 63.597545 31.113519
105: 63.711196 45.112675
106: 63.989339 56.504792
107: 64.526063 42.469285
108: 64.904297 72.392058
109: 65.195801 77.114130
110: 65.444293 82.747101
111: 65.659991 47.707465
112: 66.475023 21.441281
113: 66.762288 84.675732
114: 67.107625 74.591079
115: 67.485151 15.060836
116: 68.423753 64.391646
117: 68.548807 92.121159
118: 68.673601 35.064452
119: 68.745908 29.195579
120: 69.350835 98.827525
121: 69.784139 49.024956
122: 69.827071 75.067065
123: 70.543115 8.876720
124: 70.849756 70.664020
125: 71.531830 87.080504
126: 71.728064 89.526954
127: 72.177250 14.943034
128: 73.713606 93.715567
129: 73.945953 5.891329
130: 74.028265 61.391310
131: 74.735339 48.254065
132: 75.046486 17.919401
