Nodes: 140
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.990566 23.994983
1: 1.259034 68.993434
2: 1.853874 59.407538
3: 2.439028 32.580361
4: 3.178793 50.624428
5: 3.486407 26.776415
6: 4.090067 68.076110
7: 4.533551 37.655810
8: 4.785851 20.763052
9: 5.264750 33.902393
10: 5.625072 44.623831
11: 5.782779 71.317377
12: 7.044376 8.961572
13: 7.333891 31.426787
14: 7.909424 2.563248
15: 7.978979 19.785495
16: 9.690962 66.286953
17: 10.316327 74.764255
18: 11.162574 47.795678
19: 11.751567 17.936063
20: 11.795422 28.261112
21: 11.802333 66.219605
22: 11.892177 60.608360
23: 13.793763 57.359170
24: 13.915003 19.911840
25: 14.071095 46.062351
26: 15.336632 28.697793
27: 16.299088 47.004485
28: 16.782885 7.784453
29: 17.241301 32.969656
30: 17.633024 24.423609
31: 17.731810 35.007734
32: 18.680431 64.131394
33: 19.033985 1.488191
34: 19.241724 50.515795
35: 19.395637 60.902890
36: 19.718974 8.306478
37: 19.892569 71.440818
38: 21.393407 41.177266
39: 21.523471 64.992020
40: 21.740998 57.422139
41: 21.753541 13.338355
42: 22.522166 30.065559
43: 22.526157 23.246056
44: 22.948006 72.958272
45: 23.433043 59.338908
46: 23.489111 1.108715
47: 23.540185 55.625403
48: 24.049194 46.690119
49: 25.588669 5.852809
50: 25.721647 26.474771
51: 26.388999 59.564797
52: 26.510201 64.851794
53: 28.625617 64.011376
54: 28.696110 4.953190
55: 28.794763 41.242445
56: 29.105770 69.859144
57: 29.238903 2.607408
58: 30.392163 28.164097
59: 30.462114 31.690728
60: 30.771506 52.987251
61: 31.261041 39.767458
62: 33.702260 59.948085
63: 33.732910 30.945014
64: 34.170700 53.202586
65: 34.205504 48.830021
66: 35.772321 59.456680
67: 35.829001 42.666979
68: 36.690772 68.509234
69: 36.944972 25.939701
70: 37.630052 12.161339
71: 37.703139 33.189930
72: 37.823826 21.819623
73: 38.018905 53.708530
74: 38.064029 41.624688
75: 38.729468 44.830392
76: 39.883617 73.156950
77: 40.457152 20.005125
78: 40.530812 48.370592
79: 40.588504 15.800896
80: 41.301986 38.968961
81: 41.451019 22.652441
82: 43.404766 35.598210
83: 43.433380 43.605812
84: 43.900768 14.315935
85: 44.005483 23.290726
86: 44.237523 5.787207
87: 44.642799 0.461520
88: 44.653017 41.116459
89: 45.941804 54.656491
90: 46.528285 27.918826
91: 47.612116 2.201002
92: 48.002944 61.888049
93: 49.457680 48.120507
94: 49.858783 17.698014
95: 50.082193 41.640583
96: 50.097310 3.028329
97: 51.906357 26.166953
98: 52.215858 40.253976
99: 52.477326 4.364611
100: 53.121402 24.575192
101: 55.747193 9.886876
102: 56.368604 39.988502
103: 56.999233 1.748416
104: 57.630196 52.036317
105: 58.292099 70.558205
106: 58.506322 54.916354
107: 58.666027 59.397123
108: 59.477825 75.034961
109: 60.901954 36.718653
110: 61.168326 14.848705
111: 61.265516 44.963371
112: 62.397765 17.925270
113: 62.640942 71.994526
114: 63.979226 19.386325
115: 63.983485 51.617589
116: 64.396442 58.904182
117: 64.712386 42.354291
118: 65.069925 69.474581
119: 65.073293 2.726059
120: 65.289162 21.456385
121: 66.145193 5.769296
122: 67.309015 60.335971
123: 67.865754 65.834374
124: 68.146505 14.315819
125: 68.562278 68.286717
126: 68.623399 16.502123
127: 68.741861 30.320501
128: 69.013012 39.422097
129: 69.120587 26.276157
130: 69.509426 59.631066
131: 70.295211 50.827499
132: 72.078334 54.355846
133: 72.542657 16.452931
134: 72.923664 30.695868
135: 73.298498 64.623764
136: 73.772500 52.153357
137: 73.780899 44.891475
138: 74.073392 48.669653
139: 75.022209 27.229446
Edges
(0,2)
(0,3)
(0,8)
(0,12)
(0,14)
(1,6)
(1,17)
(2,16)
(3,9)
(4,10)
(5,20)
(7,9)
(7,10)
(7,25)
(11,16)
(11,17)
(12,15)
(13,20)
(13,31)
(14,28)
(15,19)
(17,37)
(18,25)
(20,24)
(20,29)
(20,30)
(21,22)
(22,23)
(22,32)
(25,38)
(26,42)
(27,48)
(28,33)
(28,36)
(29,42)
(30,43)
(32,37)
(33,46)
(34,47)
(34,48)
(35,40)
(36,41)
(37,39)
(38,48)
(39,45)
(40,45)
(41,43)
(41,70)
(42,55)
(43,72)
(44,52)
(44,56)
(45,52)
(46,49)
(46,57)
(50,72)
(51,52)
(52,53)
(54,70)
(55,67)
(57,87)
(58,63)
(58,69)
(59,61)
(60,64)
(61,63)
(61,71)
(61,74)
(62,66)
(64,73)
(65,67)
(65,75)
(66,68)
(66,73)
(66,89)
(69,81)
(70,84)
(72,77)
(73,78)
(74,75)
(74,80)
(76,92)
(76,108)
(78,83)
(79,84)
(82,90)
(82,95)
(83,95)
(84,85)
(84,86)
(84,101)
(85,90)
(87,91)
(88,95)
(90,98)
(91,96)
(92,106)
(93,98)
(93,102)
(93,111)
(94,112)
(96,103)
(97,102)
(97,109)
(99,103)
(100,114)
(103,119)
(104,115)
(105,108)
(105,118)
(106,116)
(107,116)
(109,117)
(109,127)
(110,112)
(110,124)
(112,126)
(113,118)
(114,126)
(115,117)
(115,132)
(116,122)
(116,123)
(116,130)
(117,137)
(118,125)
(119,121)
(120,127)
(120,129)
(125,135)
(126,133)
(127,134)
(128,134)
(129,133)
(131,136)
(131,138)
(132,135)
(135,136)
(137,139)
