Nodes: 180
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.348365 72.647614
1: 0.843952 17.092692
2: 1.283513 54.956086
3: 1.438047 27.627716
4: 1.607175 85.380000
5: 1.957909 64.707180
6: 2.590451 44.631379
7: 2.931215 47.077412
8: 3.322725 12.983070
9: 3.387072 39.829893
10: 3.487701 83.713036
11: 4.107767 26.644683
12: 4.738521 59.921448
13: 5.158745 96.141929
14: 6.620976 78.541853
15: 7.304044 2.868102
16: 7.858339 51.292739
17: 7.992072 95.225080
18: 8.279253 24.770939
19: 8.549213 45.533116
20: 9.180353 47.661510
21: 9.485832 16.790199
22: 10.017324 62.871939
23: 11.699758 22.823674
24: 11.740452 90.943707
25: 12.416200 96.314465
26: 12.524515 16.236010
27: 13.301977 40.889931
28: 14.274461 64.883084
29: 14.694482 20.160950
30: 15.091963 71.471601
31: 15.286049 29.086973
32: 16.313345 75.122260
33: 17.252415 68.918497
34: 17.386030 1.835992
35: 17.829751 71.640237
36: 18.797348 19.571383
37: 19.024083 45.050317
38: 19.052710 54.924125
39: 19.118886 95.142855
40: 19.612194 13.598522
41: 21.290582 52.631762
42: 21.759155 62.747691
43: 21.866175 50.221892
44: 22.096938 31.916281
45: 22.700799 95.681033
46: 22.893229 5.521665
47: 23.736405 90.670738
48: 24.326065 62.435515
49: 24.611792 57.177724
50: 25.188057 13.860052
51: 25.232134 39.656683
52: 25.605479 8.632485
53: 25.787180 71.212505
54: 26.527916 67.127393
55: 26.583265 76.514976
56: 27.619630 52.206101
57: 27.703137 45.642648
58: 28.243021 22.877758
59: 30.170851 78.883177
60: 30.489259 38.200175
61: 31.024352 9.262347
62: 31.390544 69.890491
63: 31.464750 44.386910
64: 31.505392 90.057721
65: 31.769937 0.737059
66: 32.062857 30.550845
67: 32.410614 92.179037
68: 33.577080 77.128731
69: 33.681857 29.057678
70: 35.524847 52.336019
71: 35.537219 47.551213
72: 36.072510 92.992304
73: 36.621006 12.582882
74: 37.412805 31.853757
75: 37.884443 95.609860
76: 37.979325 1.905378
77: 38.709108 71.374705
78: 38.906273 33.575579
79: 38.948033 75.977207
80: 39.970450 67.314092
81: 40.954329 9.913273
82: 42.524785 82.869154
83: 42.711646 32.404228
84: 43.102995 52.854813
85: 45.283683 78.801147
86: 45.533046 19.376348
87: 45.929992 43.350148
88: 46.212411 26.109004
89: 46.350220 33.747193
90: 47.154974 3.671090
91: 47.597250 7.052516
92: 50.781439 85.190913
93: 52.028043 32.613889
94: 52.060227 29.149133
95: 52.926366 61.715730
96: 54.294594 18.703484
97: 54.552309 22.686554
98: 55.555921 65.735336
99: 56.433747 92.471105
100: 56.512949 86.397357
101: 57.064303 46.029951
102: 59.360619 47.818498
103: 59.484868 22.727817
104: 59.608523 81.117330
105: 60.201631 59.964062
106: 61.648000 66.154952
107: 61.700862 57.800201
108: 62.032152 74.950282
109: 62.440935 45.727252
110: 62.557710 0.286378
111: 63.454517 55.608664
112: 64.705335 85.010055
113: 64.868242 38.804449
114: 66.327006 76.748433
115: 66.870244 25.514460
116: 67.007564 39.886818
117: 67.866136 4.961915
118: 67.938497 29.429868
119: 68.191547 95.375358
120: 68.860206 79.881986
121: 70.499604 76.683417
122: 70.697251 6.312601
123: 70.809076 69.101926
124: 71.095266 82.218725
125: 71.577834 74.431120
126: 73.131580 10.979709
127: 73.227648 40.340665
128: 73.363734 71.349203
129: 73.547124 74.812523
130: 74.656906 21.750776
131: 74.714552 89.083398
132: 75.085075 2.902529
