Nodes: 300
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.139218 108.275543
1: 0.454666 77.981452
2: 0.572857 123.450272
3: 0.782967 47.938225
4: 1.399235 4.117492
5: 1.684267 0.176660
6: 1.725780 86.044512
7: 1.835246 114.225166
8: 2.666664 109.090472
9: 4.285763 0.616359
10: 4.774850 49.337911
11: 5.093607 32.696169
12: 5.258407 62.915066
13: 5.296388 15.784792
14: 5.876434 90.615375
15: 6.661771 22.075050
16: 6.790178 38.439270
17: 7.250640 12.666612
18: 7.790977 1.403332
19: 7.853495 61.654220
20: 7.874442 67.481835
21: 8.455650 19.426267
22: 8.765540 14.031189
23: 9.389213 107.327127
24: 10.535513 119.032268
25: 10.722418 42.705119
26: 10.781809 89.941395
27: 13.225204 18.988783
28: 13.460103 2.848456
29: 14.058244 6.898401
30: 14.225829 29.467980
31: 14.323722 108.796463
32: 14.624052 78.508512
33: 14.676313 21.016181
34: 15.321661 122.312929
35: 15.893566 132.343476
36: 15.980765 81.014557
37: 16.096028 12.819239
38: 16.936731 16.681781
39: 17.128767 119.241436
40: 17.575185 96.201271
41: 19.054613 99.925852
42: 19.062847 86.412931
43: 19.103712 66.196710
44: 19.348645 137.647709
45: 20.302462 50.143149
46: 20.642470 113.314781
47: 20.722486 141.107239
48: 21.180306 34.333380
49: 21.514218 19.196466
50: 21.668497 91.325388
51: 21.720016 102.584123
52: 23.026178 136.280169
53: 23.042226 46.427061
54: 23.115690 56.825904
55: 23.202644 88.769296
56: 24.113223 137.997903
57: 24.365458 143.369074
58: 24.733394 2.377011
59: 26.333535 73.515646
60: 27.178023 45.912065
61: 27.764594 3.163399
62: 28.062488 69.252176
63: 28.085570 100.045098
64: 29.547699 1.689427
65: 30.892149 87.553800
66: 31.829537 2.705505
67: 32.070392 134.380547
68: 33.418713 112.658731
69: 34.194701 84.368562
70: 34.753774 12.944550
71: 34.801830 51.440823
72: 35.099868 60.432501
73: 35.587376 135.618629
74: 35.619277 9.764903
75: 35.950740 18.762693
76: 35.967165 125.425411
77: 36.257956 138.846441
78: 36.558902 69.219576
79: 36.580056 91.266903
80: 36.874583 143.237248
81: 36.884576 65.954891
82: 37.168770 104.225058
83: 37.478828 59.910753
84: 38.326886 94.056920
85: 39.103385 78.011768
86: 39.911958 102.784206
87: 39.948698 84.127140
88: 40.954455 140.682330
89: 41.618080 39.006144
90: 43.557342 85.133511
91: 43.785440 6.124774
92: 45.339208 45.283122
93: 45.811716 61.216563
94: 46.116602 108.095654
95: 46.889734 27.025726
96: 47.375541 131.292694
97: 47.454266 113.558207
98: 48.282902 37.436117
99: 48.464068 58.410637
100: 48.675423 105.834234
101: 49.495127 125.485527
102: 49.612892 20.883495
103: 49.688483 89.221193
104: 49.965657 83.894490
105: 50.827927 134.084362
106: 52.110933 106.222123
107: 52.303500 92.033577
108: 53.529846 54.466631
109: 54.747778 83.247921
110: 56.650149 123.766305
111: 57.900907 138.517804
112: 58.235060 29.030705
113: 58.267366 136.137357
114: 59.292157 123.650730
115: 59.298584 41.780780
116: 59.395650 69.169637
117: 60.100065 25.233107
118: 60.234106 132.211318
119: 60.250254 73.619284
120: 60.624974 111.053262
121: 61.101899 136.573023
122: 63.911231 45.354141
123: 64.164058 43.077979
124: 65.805422 112.497334
125: 66.249082 139.960504
126: 67.059748 48.621013
127: 67.358506 66.983227
128: 68.466834 35.296270
129: 68.621250 87.314957
130: 69.944641 58.013146
131: 70.031105 84.967499
132: 70.270271 79.620923
