Nodes: 60
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.468811 22.037866
1: 0.654463 27.096459
2: 1.892460 6.216230
3: 1.944698 32.149581
4: 2.791676 8.326843
5: 2.943916 10.372352
6: 4.991637 27.323422
7: 5.573850 1.819970
8: 6.007462 7.371127
9: 7.016003 21.247227
10: 7.429818 12.686877
11: 8.245736 35.278174
12: 8.956612 18.840960
13: 9.316703 33.476193
14: 10.397945 20.537611
15: 10.869030 27.874711
16: 11.187753 12.874220
17: 11.668988 8.649842
18: 12.030167 32.230674
19: 13.009081 15.684040
20: 13.111478 11.700149
21: 13.488974 29.651276
22: 13.629318 19.046170
23: 13.817409 0.942440
24: 14.922574 3.598379
25: 15.767713 1.537173
26: 16.477901 28.222718
27: 16.698513 31.384963
28: 17.171858 35.697796
29: 17.463874 16.578030
30: 20.525987 25.995820
31: 20.660930 21.243821
32: 21.458957 12.978591
33: 21.975787 35.478619
34: 22.650005 15.142655
35: 24.103360 24.358004
36: 24.800856 1.906523
37: 25.377502 30.283336
38: 26.725747 27.212877
39: 27.199269 18.000718
40: 27.398954 21.714967
41: 27.902343 33.365910
42: 28.220443 14.287515
43: 29.828558 24.015736
44: 30.574234 0.989860
45: 31.651796 12.280237
46: 31.680770 29.765297
47: 32.023110 5.955448
48: 32.160109 9.660581
49: 32.402403 21.308417
50: 32.909638 35.690397
51: 34.315342 5.010780
52: 34.530849 20.027827
53: 34.883715 33.596494
54: 34.923274 28.053417
55: 34.970506 31.338064
56: 35.185880 8.584737
57: 36.268034 14.530462
58: 36.974407 23.577681
59: 36.994327 25.751292
Edges
(0,2)
(0,5)
(0,6)
(0,9)
(1,3)
(1,6)
(2,5)
(2,7)
(2,8)
(3,6)
(3,11)
(4,5)
(5,8)
(6,9)
(6,13)
(6,15)
(7,17)
(7,23)
(8,17)
(9,12)
(9,14)
(9,15)
(10,16)
(10,17)
(11,18)
(11,28)
(14,15)
(14,26)
(16,19)
(16,20)
(17,20)
(17,23)
(17,24)
(18,28)
(19,20)
(19,22)
(21,26)
(22,29)
(23,24)
(23,25)
(23,44)
(24,32)
(25,36)
(27,28)
(27,30)
(27,37)
(28,33)
(28,50)
(29,34)
(30,35)
(30,37)
(31,35)
(33,37)
(33,50)
(34,39)
(35,37)
(35,38)
(35,40)
(36,48)
(37,38)
(37,41)
(38,40)
(38,46)
(39,52)
(40,43)
(42,45)
(45,52)
(46,53)
(46,54)
(47,51)
(48,56)
(49,52)
(49,58)
(50,53)
(51,56)
(52,57)
(53,59)
(54,55)
(54,59)
(58,59)
