Nodes: 140
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.027491 54.872426
1: 1.182079 31.272777
2: 2.511124 1.504864
3: 2.597149 64.878215
4: 3.443051 38.967868
5: 3.616748 14.661474
6: 4.066943 51.809798
7: 4.119456 17.590556
8: 4.305573 73.886092
9: 4.831376 1.583068
10: 5.117491 32.025851
11: 6.626207 40.658487
12: 6.689322 7.984035
13: 6.949158 24.070956
14: 7.097312 33.961458
15: 7.506560 43.189044
16: 7.991753 2.541107
17: 8.117444 73.817308
18: 8.752439 20.813340
19: 8.981104 7.329739
20: 9.062483 11.351372
21: 9.222083 65.929798
22: 9.488899 27.458061
23: 10.048195 47.461563
24: 12.040229 30.372060
25: 12.120349 68.433182
26: 12.436190 74.711702
27: 13.412283 54.302507
28: 14.362322 10.516668
29: 14.758247 29.544399
30: 15.263750 46.220643
31: 16.063579 62.802107
32: 16.398385 42.783258
33: 16.836053 57.664171
34: 17.348427 32.340388
35: 18.056754 67.451572
36: 18.339451 65.207337
37: 18.537963 39.366584
38: 18.573852 27.088114
39: 18.836587 56.799784
40: 19.283225 41.646354
41: 19.466307 9.200446
42: 20.183138 21.837396
43: 20.937467 17.838102
44: 22.447088 61.576505
45: 23.004099 67.539083
46: 23.323980 32.694471
47: 23.695905 14.389812
48: 24.208824 19.433202
49: 24.608337 5.002454
50: 29.483513 68.078615
51: 29.887162 26.809344
52: 29.934213 30.178539
53: 30.733087 2.715293
54: 30.854109 46.652932
55: 30.897014 32.033234
56: 31.447492 73.033879
57: 31.461308 69.983090
58: 31.947998 43.759352
59: 32.485435 17.983868
60: 32.666437 55.308147
61: 33.054600 25.848473
62: 34.415439 33.935167
63: 34.546854 73.639644
64: 35.246655 70.145989
65: 35.597863 12.235868
66: 36.172134 75.050550
67: 36.472774 30.929585
68: 37.181602 9.821199
69: 37.271304 18.232236
70: 38.209230 6.228793
71: 38.238928 47.252494
72: 38.444861 22.465918
73: 38.639437 61.070339
74: 40.295634 13.237514
75: 41.789445 1.207391
76: 41.854433 61.968948
77: 42.985206 47.319499
78: 43.242747 32.531362
79: 44.688402 71.754239
80: 45.542386 45.146291
81: 46.496939 13.658264
82: 46.529968 70.875667
83: 46.797179 57.387971
84: 46.844505 52.891262
85: 47.355945 25.007109
86: 47.593431 59.281355
87: 48.681940 5.871481
88: 49.056747 28.906385
89: 49.689850 74.838915
90: 49.729024 15.700993
91: 49.739391 64.488666
92: 49.781080 21.910696
93: 50.593885 19.951734
94: 51.242534 69.431286
95: 51.964564 63.599140
96: 52.014210 34.236679
97: 52.089235 73.975834
98: 52.095223 32.226182
99: 52.448437 22.952910
100: 52.762337 42.936009
101: 53.320713 50.688206
102: 53.596652 35.924144
103: 54.216328 68.732979
104: 54.280115 46.562305
105: 54.511486 15.544401
106: 55.101680 0.929050
107: 55.291571 60.122280
108: 55.664607 3.912378
109: 55.690660 10.049678
110: 56.214293 72.863555
111: 56.429267 66.654431
112: 56.679229 25.118986
113: 56.745129 23.025268
114: 57.121250 29.525696
115: 58.172830 37.680739
116: 58.241538 4.869431
117: 59.555367 70.525175
118: 60.104288 57.716108
119: 60.779600 54.711787
120: 61.084399 19.137541
121: 61.536940 49.041092
122: 63.143064 64.070409
123: 64.333517 75.842647
124: 64.366239 17.874128
125: 64.427406 10.211219
126: 64.436433 31.403574
127: 65.045847 15.154137
128: 65.389094 42.035356
129: 65.693799 51.737645
130: 66.084721 57.048500
131: 67.438638 42.375373
132: 68.132839 38.422823
