Nodes: 60
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.197282 7.699725
1: 0.732752 20.556666
2: 1.149647 31.430132
3: 1.248615 13.357608
4: 1.285878 4.473648
5: 1.658773 15.533017
6: 1.698546 9.737935
7: 2.342456 23.011923
8: 3.563030 30.518006
9: 4.074541 8.335602
10: 4.878349 24.282602
11: 4.957126 26.759965
12: 5.214783 18.911719
13: 5.627617 4.524747
14: 5.998779 10.316073
15: 7.852915 17.826152
16: 8.092959 1.685158
17: 9.454261 16.202917
18: 9.457457 32.860863
19: 10.481407 28.790147
20: 10.961180 4.845663
21: 11.842511 0.360363
22: 12.384454 27.638818
23: 12.547279 11.598518
24: 12.890216 29.596715
25: 13.604512 15.100410
26: 13.822881 33.555973
27: 14.751284 18.546058
28: 14.917454 21.101092
29: 15.063780 6.463398
30: 15.310561 31.414271
31: 15.335735 1.948127
32: 16.594735 28.554161
33: 18.328031 27.105166
34: 18.720576 21.547193
35: 19.128423 32.578003
36: 19.563295 19.489588
37: 19.564262 1.389517
38: 19.970647 9.618068
39: 20.906129 17.109662
40: 21.851857 3.355503
41: 21.907556 28.489748
42: 21.914591 0.032686
43: 22.652178 7.365527
44: 23.323053 9.369010
45: 23.532622 30.563087
46: 25.187650 20.703399
47: 25.740866 33.503949
48: 26.211705 12.137724
49: 26.470095 16.173282
50: 28.058110 5.224188
51: 28.095213 17.832621
52: 28.357185 13.727643
53: 30.119060 9.759413
54: 30.174734 0.645107
55: 31.233614 15.818640
56: 31.845251 19.442113
57: 32.933031 10.678688
58: 33.195286 4.476984
59: 33.643914 21.631815
Edges
(0,2)
(0,5)
(0,9)
(1,2)
(1,8)
(3,7)
(4,9)
(4,37)
(6,12)
(6,15)
(6,23)
(7,8)
(7,19)
(7,22)
(7,44)
(7,52)
(10,19)
(10,24)
(11,18)
(11,19)
(13,37)
(14,20)
(14,42)
(15,25)
(15,42)
(15,44)
(16,21)
(16,31)
(16,42)
(17,38)
(17,58)
(18,26)
(19,24)
(22,34)
(23,29)
(26,34)
(27,52)
(27,58)
(28,39)
(28,49)
(30,32)
(31,42)
(32,34)
(32,35)
(33,51)
(35,41)
(36,51)
(37,42)
(38,40)
(38,42)
(39,52)
(40,43)
(43,54)
(43,58)
(44,58)
(45,46)
(45,57)
(47,56)
(48,53)
(49,51)
(49,57)
(50,58)
(52,53)
(52,58)
(54,58)
(55,57)
(56,57)
(56,59)
(57,58)
