Nodes: 60
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.476497 15.663377
1: 0.611110 12.660309
2: 1.177758 22.441044
3: 1.192141 29.529066
4: 1.880101 34.021203
5: 2.339283 19.096148
6: 3.897813 14.613798
7: 4.429575 9.724814
8: 4.994933 18.059966
9: 5.563753 0.414921
10: 5.984377 24.930879
11: 6.281130 11.129821
12: 6.600252 36.465664
13: 7.722882 8.620413
14: 8.151024 14.865880
15: 8.577438 22.087746
16: 9.742677 8.796984
17: 9.848140 33.011083
18: 10.518710 22.635136
19: 10.973775 12.875597
20: 12.048673 6.961881
21: 12.851036 26.607629
22: 13.324094 17.549602
23: 13.406818 22.041125
24: 14.217706 4.065434
25: 16.462611 9.065631
26: 16.570435 34.402522
27: 16.686695 32.351433
28: 16.781644 1.376993
29: 17.091354 5.630127
30: 18.519385 13.226005
31: 20.884207 22.345397
32: 21.248903 29.827139
33: 21.605676 14.424826
34: 21.772384 11.517453
35: 24.283790 29.871719
36: 24.446508 15.167277
37: 24.454382 1.427977
38: 25.103883 25.434775
39: 26.201300 7.743590
40: 26.410831 33.040626
41: 27.591602 12.724926
42: 27.862020 21.254855
43: 27.995701 35.206080
44: 28.453620 16.478248
45: 29.778832 33.374161
46: 29.832875 1.441582
47: 30.225969 6.018327
48: 31.056106 8.523977
49: 31.092046 4.133203
50: 31.126727 16.530051
51: 31.248713 35.101913
52: 32.390166 28.346115
53: 32.506290 6.512492
54: 33.130257 4.375144
55: 33.598629 32.746159
56: 33.664352 36.379083
57: 35.295445 8.161231
58: 35.700411 21.647707
59: 36.468779 11.557504
Edges
(0,1)
(0,6)
(0,11)
(0,16)
(0,20)
(0,28)
(1,7)
(1,9)
(1,13)
(2,6)
(2,8)
(2,16)
(2,20)
(3,8)
(3,12)
(3,21)
(4,12)
(5,6)
(6,16)
(7,9)
(8,20)
(8,24)
(8,41)
(8,59)
(9,46)
(10,31)
(10,36)
(10,59)
(12,32)
(12,56)
(14,24)
(14,30)
(14,48)
(14,57)
(15,36)
(17,31)
(17,42)
(17,50)
(17,59)
(18,59)
(19,28)
(19,48)
(21,31)
(22,36)
(23,31)
(24,28)
(25,49)
(25,53)
(25,57)
(26,51)
(26,56)
(27,40)
(27,51)
(27,55)
(28,46)
(28,54)
(29,49)
(30,57)
(31,44)
(32,35)
(32,55)
(33,59)
(34,57)
(35,42)
(37,54)
(38,42)
(39,57)
(42,50)
(42,55)
(43,51)
(44,59)
(45,51)
(47,53)
(50,52)
(50,55)
(50,58)
(54,57)
(55,58)
(56,58)
(57,59)
