Nodes: 140
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.058579 8.967885
1: 0.417947 68.588235
2: 0.896382 58.913664
3: 0.940862 36.081627
4: 1.989205 0.189614
5: 2.053814 45.018292
6: 3.113977 27.749789
7: 3.235972 39.051016
8: 3.637753 52.903347
9: 3.704395 7.729365
10: 3.842788 55.336914
11: 3.865812 19.715772
12: 5.184875 23.521289
13: 5.853908 47.668158
14: 5.926972 42.658204
15: 6.012191 10.456926
16: 6.341565 20.018962
17: 6.515164 60.384476
18: 7.501757 49.328401
19: 7.691437 30.825442
20: 8.618368 64.753841
21: 9.134220 16.860769
22: 9.168887 45.369797
23: 10.849284 11.933256
24: 11.168359 43.690343
25: 12.899701 5.518438
26: 13.131335 67.757165
27: 13.223016 17.824318
28: 13.811149 20.484725
29: 16.704921 66.412844
30: 19.078101 74.705740
31: 19.255113 45.476822
32: 21.087165 51.965174
33: 21.355329 38.670372
34: 21.571039 43.321749
35: 21.751649 46.801122
36: 21.896973 64.044235
37: 22.880462 61.169433
38: 23.128057 39.758097
39: 23.135829 29.731209
40: 24.532737 31.455282
41: 24.546334 9.538814
42: 24.916978 36.188432
43: 25.009374 15.153009
44: 25.189899 33.437798
45: 25.285130 57.484786
46: 25.403777 55.224417
47: 27.143013 50.364102
48: 27.190156 38.962428
49: 27.793624 53.899153
50: 27.861621 29.644484
51: 27.892575 64.930125
52: 28.703622 3.341924
53: 29.929833 21.381425
54: 30.025870 56.868150
55: 30.258702 64.988946
56: 31.726103 28.580541
57: 32.717773 7.480518
58: 33.060104 12.857230
59: 33.282278 16.572527
60: 33.391666 43.787851
61: 34.157099 63.330963
62: 34.314480 57.264540
63: 35.050885 60.533957
64: 35.787368 34.203186
65: 36.242171 7.381219
66: 36.809008 42.003253
67: 37.868041 29.309352
68: 37.896733 39.338312
69: 39.423552 2.038985
70: 40.157583 10.425414
71: 40.225571 28.310522
72: 40.385141 6.066983
73: 40.721390 74.395136
74: 41.127714 19.504419
75: 42.472036 11.117797
76: 42.533255 15.864963
77: 42.813237 23.784411
78: 42.822524 67.288175
79: 43.644211 6.618190
80: 43.734460 38.764422
81: 44.167005 19.413648
82: 44.364839 56.149335
83: 44.764934 63.324106
84: 45.352076 45.036350
85: 45.584648 66.263034
86: 45.623609 49.007934
87: 45.788170 61.322701
88: 46.377737 8.525116
89: 47.007921 13.125031
90: 48.221658 37.992297
91: 49.089858 71.338034
92: 49.177365 3.073288
93: 49.498034 30.608625
94: 49.663447 0.210920
95: 50.022273 47.763955
96: 50.406041 5.797917
97: 51.071562 64.776890
98: 51.386399 46.296395
99: 52.234671 18.665039
100: 54.834818 0.350258
101: 57.085453 47.410530
102: 57.165141 2.266622
103: 58.518360 35.909286
104: 58.601853 3.976314
105: 58.766788 62.513359
106: 59.170009 70.591788
107: 59.686353 49.890277
108: 60.256549 7.198321
109: 60.382269 34.847690
110: 61.496115 19.950050
111: 61.667772 59.323854
112: 62.297358 73.138636
113: 62.935132 12.146849
114: 62.979454 1.341388
115: 63.940155 23.612408
116: 64.721401 67.079589
117: 64.871546 31.257685
118: 65.502133 21.295514
119: 65.503017 72.791957
120: 66.118278 37.263054
121: 66.331874 27.763840
122: 66.536440 2.165286
123: 66.893380 10.357952
124: 68.529656 61.715830
125: 68.602583 29.836257
126: 68.649951 3.201640
127: 69.462549 70.986831
128: 69.583271 55.598235
129: 70.441652 10.548884
130: 70.529284 47.871400
131: 70.683715 32.144049
132: 70.727665 44.236676
