Nodes: 140
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.367438 64.101582
1: 1.823105 17.578440
2: 3.468907 40.942410
3: 3.500377 27.541142
4: 3.924835 50.917405
5: 4.051147 65.379670
6: 4.487174 5.323482
7: 4.993230 57.716231
8: 5.640498 18.135085
9: 6.429625 32.104617
10: 6.621248 35.509083
11: 7.226954 13.348005
12: 8.314552 67.198671
13: 9.245679 18.499781
14: 9.257217 23.074504
15: 9.452712 28.001309
16: 10.435758 66.916992
17: 10.649532 1.755713
18: 11.290128 56.657836
19: 11.532731 44.829183
20: 12.162985 76.590998
21: 12.521766 26.812181
22: 12.791136 0.649737
23: 12.911049 21.340225
24: 13.383611 23.560582
25: 13.489458 62.301937
26: 13.927232 40.256714
27: 16.542296 15.617185
28: 16.984338 31.593352
29: 17.367633 56.989835
30: 17.998663 17.739844
31: 18.209740 43.536495
32: 18.803200 20.262239
33: 19.030706 76.631498
34: 22.068093 19.961477
35: 23.343274 67.224915
36: 23.486871 42.720794
37: 24.076474 31.551502
38: 24.375560 18.264296
39: 24.700786 2.685384
40: 24.951164 28.436489
41: 24.977094 73.002546
42: 25.061144 35.004466
43: 26.100028 71.288778
44: 26.175849 60.171899
45: 26.395143 64.813461
46: 27.475511 48.270247
47: 27.540372 21.926774
48: 27.546327 57.935455
49: 28.173706 4.401007
50: 29.167325 75.441047
51: 29.684205 64.511785
52: 31.489698 63.520458
53: 31.732316 30.026156
54: 31.886636 14.580562
55: 31.905008 41.484248
56: 31.976323 10.933515
57: 32.617732 72.623623
58: 33.670653 63.277037
59: 35.626533 0.471045
60: 35.735217 78.398822
61: 36.169560 61.055597
62: 36.979482 31.490769
63: 37.162709 36.932592
64: 37.711733 38.985814
65: 37.770930 65.387778
66: 37.922341 43.135557
67: 37.959129 56.307086
68: 38.188665 78.490755
69: 38.713433 49.382948
70: 39.427221 12.168282
71: 39.927617 61.572865
72: 39.928337 5.360667
73: 40.410684 55.197462
74: 41.270230 76.514216
75: 41.671726 12.989917
76: 42.180190 17.235435
77: 42.817813 25.516022
78: 42.843563 40.700057
79: 43.742450 47.459689
80: 44.007540 75.899206
81: 44.309296 20.630615
82: 45.119582 42.198907
83: 45.633169 16.757454
84: 46.132064 8.600892
85: 46.584083 43.686243
86: 46.645326 48.442192
87: 46.907389 32.353155
88: 48.876336 4.385176
89: 49.044670 70.132198
90: 49.067652 38.263013
91: 49.200008 65.311302
92: 49.530192 29.201638
93: 49.543302 17.486185
94: 49.919329 76.579126
95: 50.621651 63.217509
96: 50.945271 20.954279
97: 51.744306 65.903133
98: 52.255939 78.103337
99: 52.521321 13.906326
100: 52.770806 64.135501
101: 53.938584 2.850640
102: 54.511033 69.688056
103: 54.717661 47.154572
104: 56.002232 26.073851
105: 57.065118 41.485534
106: 58.397942 38.862730
107: 58.914868 53.836273
108: 59.084181 23.346807
109: 59.595622 51.425869
110: 60.460638 27.109788
111: 60.736966 30.102449
112: 60.907973 66.729720
113: 60.909903 17.639272
114: 62.282104 3.918138
115: 62.919280 16.031382
116: 64.483007 67.643334
117: 64.587686 1.866287
118: 64.987321 11.022044
119: 65.594773 18.111375
120: 66.572600 61.511081
121: 66.985154 19.902870
122: 67.097077 40.080276
123: 67.109083 30.412912
124: 68.879776 75.462796
125: 69.199472 35.138345
126: 69.503840 43.279695
127: 69.553089 21.335194
128: 69.788785 49.760459
129: 71.263800 39.173316
130: 71.688108 23.307816
131: 72.433431 41.603441
132: 72.736393 71.949573
133: 74.920870 13.640002
134: 75.949680 23.996117
135: 76.413152 78.710628
136: 78.148180 55.963110
137: 78.376948 14.995918
138: 78.377146 68.903352
139: 78.898002 73.053466
Edges
(0,25)
(0,41)
(1,3)
(1,6)
(2,3)
(3,4)
(4,14)
(4,22)
(5,16)
(5,25)
(5,51)
(5,135)
(6,9)
(7,22)
(7,25)
(8,17)
(10,13)
(10,22)
(11,13)
(11,17)
(12,60)
(15,19)
(15,24)
(15,26)
(15,29)
(15,32)
(15,46)
(15,51)
(15,52)
(16,74)
(18,29)
(20,60)
(21,40)
(22,23)
(22,27)
(24,30)
(25,44)
(28,36)
(28,40)
(31,52)
(32,34)
(32,39)
(33,60)
(34,40)
(35,135)
(37,46)
(37,47)
(37,55)
(37,56)
(37,66)
(37,75)
(37,81)
(37,84)
(37,101)
(37,118)
(37,136)
(38,47)
(39,72)
(41,60)
(42,55)
(43,57)
(43,74)
(45,95)
(45,120)
(45,135)
(48,52)
(49,72)
(50,60)
(52,58)
(52,78)
(53,63)
(53,90)
(53,115)
(53,128)
(54,70)
(54,88)
(57,80)
(58,67)
(58,73)
(59,101)
(61,107)
(61,120)
(62,77)
(62,92)
(62,105)
(62,106)
(62,128)
(64,66)
(65,95)
(65,100)
(68,74)
(69,82)
(69,107)
(71,120)
(74,94)
(74,98)
(75,88)
(76,81)
(76,93)
(76,99)
(76,117)
(79,107)
(82,85)
(82,86)
(83,118)
(86,109)
(87,104)
(89,91)
(91,120)
(96,115)
(97,102)
(97,132)
(97,139)
(103,109)
(104,106)
(106,111)
(108,110)
(108,128)
(112,138)
(113,126)
(113,134)
(114,133)
(114,137)
(115,118)
(116,139)
(119,133)
(121,137)
(122,126)
(123,126)
(124,139)
(125,127)
(126,127)
(126,128)
(126,130)
(128,131)
(129,131)
(135,139)
(136,137)
(138,139)
