Nodes: 180
Protection radius: 1.000000
Disaster radius: 0.500000
0: 0.291189 83.441786
1: 0.934009 22.771718
2: 1.198504 43.519056
3: 1.872369 67.610607
4: 3.582454 70.227287
5: 3.708627 42.297931
6: 4.689354 34.905046
7: 5.396448 25.364672
8: 6.438212 75.665713
9: 6.782420 79.075572
10: 6.859333 30.685040
11: 7.467255 23.148107
12: 7.533019 61.948137
13: 8.044001 81.535864
14: 8.198200 10.659961
15: 8.660585 16.288085
16: 8.710421 43.545191
17: 8.842652 53.883527
18: 9.030385 1.943004
19: 9.373005 68.137536
20: 9.998029 46.580228
21: 10.506730 79.925618
22: 10.540948 22.036203
23: 10.687193 8.489389
24: 12.083472 68.469224
25: 12.565100 84.967242
26: 12.629137 12.468095
27: 12.717662 6.296287
28: 12.937255 87.096975
29: 13.288267 16.437180
30: 14.299928 5.046882
31: 14.535006 89.327384
32: 15.134341 33.718681
33: 15.544452 48.103499
34: 18.462957 79.216843
35: 18.505339 8.852662
36: 18.688814 53.204202
37: 18.723053 91.906930
38: 19.363587 35.220119
39: 19.407788 15.808416
40: 19.916766 23.519569
41: 20.545296 44.443512
42: 21.507472 84.550093
43: 22.009858 0.675588
44: 22.272503 69.150217
45: 22.285073 4.597848
46: 22.318224 79.992657
47: 22.426451 21.211753
48: 22.888833 2.520183
49: 22.895335 14.823866
50: 23.192886 57.978385
51: 23.463011 77.605616
52: 24.822138 18.556028
53: 25.186339 50.062583
54: 25.499672 6.377439
55: 25.620527 58.565492
56: 26.563411 25.847763
57: 27.089682 46.161376
58: 27.096729 4.229931
59: 27.172439 91.017464
60: 28.122625 22.297434
61: 28.854355 47.808248
62: 30.200562 43.936239
63: 30.293732 1.969176
64: 30.549130 61.038370
65: 31.626629 34.311150
66: 32.180376 65.878139
67: 32.263799 43.608709
68: 32.425987 3.362585
69: 33.333123 16.755394
70: 33.378220 91.561327
71: 34.219354 29.854458
72: 34.400953 40.472815
73: 35.327924 81.646836
74: 35.600860 79.072496
75: 36.312471 41.566126
76: 36.575951 1.616669
77: 37.296145 17.495072
78: 37.450955 13.615182
79: 38.438746 59.644159
80: 38.765564 0.556492
81: 39.537702 11.834659
82: 40.570480 5.990986
83: 41.064669 59.676329
84: 41.416495 86.260158
85: 42.453281 10.969510
86: 43.046937 17.106810
87: 43.153135 89.007993
88: 44.606760 55.707011
89: 44.819726 25.075954
90: 44.853143 82.690838
91: 45.891919 29.434269
92: 46.140952 43.007601
93: 46.664573 37.316541
94: 46.981322 14.730884
95: 47.250618 18.091083
96: 47.639732 70.809452
97: 47.745242 25.007900
98: 48.097750 30.578446
99: 48.673443 52.648267
100: 48.922060 45.119612
101: 48.949132 15.313472
102: 49.728107 62.875883
103: 50.755825 39.885989
104: 50.892686 19.527369
105: 51.015744 22.150661
106: 51.651091 84.257424
107: 53.783579 71.710548
108: 53.813945 69.645595
109: 54.405301 39.816431
110: 56.186738 2.169171
111: 56.461081 11.129755
112: 57.160373 45.552639
113: 57.544494 71.881232
114: 58.159102 0.169363
115: 58.274303 74.125977
116: 59.109413 14.116170
117: 59.706402 42.616963
118: 59.813522 10.759319
119: 59.839866 49.414953
120: 60.629071 24.619747
121: 60.676474 70.755163
122: 60.821162 61.610699
123: 61.014128 84.772734
124: 61.087083 65.287070
125: 61.386682 89.530830
126: 61.467078 2.865848
127: 63.448182 23.369257
128: 63.667750 72.750856
129: 63.779870 54.527662
130: 63.786039 80.884761
131: 64.752972 49.482991
132: 65.567763 36.307720
